"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.831253576,      -12.13907418,      -12.13166003,      -12.13811355,       2.332281853
          0,           0,           1,      -2.763807721,     -0.3668508951,     -0.4228481448,     -0.4405145529,       2.612019971
          0,           0,           2,      -2.699851143,      -0.226550159,     -0.2633854241,     -0.2930278951,       2.739810714
          0,           0,           3,      -2.696587345,     -0.1893453065,     -0.2420551364,     -0.2536349605,       2.753919534
          0,           0,           4,      -2.769214617,     -0.2060998956,     -0.2960870791,     -0.3058121723,        2.68263234
          0,           0,           5,      -2.868881173,     -0.2405500007,     -0.3721153402,     -0.3747527201,       2.590072198
          0,           0,           6,      -2.940420563,      -0.285235896,     -0.4305262526,     -0.4308500002,        2.51795338
          0,           0,           7,      -2.988407974,     -0.3364374233,     -0.4755682006,     -0.4753645479,       2.468988688
          0,           0,           8,       -3.02652661,     -0.3890072074,     -0.5153928627,     -0.5133814956,       2.430981982
          0,           0,           9,      -3.069039944,     -0.4395127148,     -0.5534277584,     -0.5506225426,       2.387877973
          0,           0,          10,      -3.130074723,     -0.4867105504,     -0.5943208393,     -0.5919299477,       2.323914535
          0,           0,          11,      -3.213991619,     -0.5306782585,     -0.6395161148,     -0.6363057596,       2.229230131
          0,           0,          12,       -3.28915886,     -0.5714104871,      -0.677752311,     -0.6707684468,       2.128691478
          0,           0,          13,      -3.279109168,     -0.6076158441,     -0.6890556877,     -0.6769724826,       2.123716106
          0,           0,          14,       -3.19799185,     -0.6380581758,     -0.6709953794,     -0.6567141142,       2.220801066
          0,           0,          15,      -3.119310074,     -0.6623693207,     -0.6424005971,     -0.6284945617,       2.317549327
          0,           0,          16,      -3.070536995,     -0.6826725223,     -0.6217944583,     -0.6088906967,       2.379226294
          0,           0,          17,      -3.054925199,     -0.7027097261,     -0.6186109523,     -0.6061056488,       2.404323993
          0,           0,          18,      -3.071209352,     -0.7259793888,     -0.6358671058,     -0.6227309796,       2.395643778
          0,           0,          19,      -3.118409836,     -0.7543251613,     -0.6732269318,      -0.658306904,       2.354818654
          0,           0,          20,      -3.195687244,     -0.7873550655,     -0.7273540858,     -0.7095202072,       2.282337984
          0,           0,          21,      -3.297744678,     -0.8224016829,     -0.7897486283,      -0.768310615,       2.181090664
          0,           0,          22,      -3.405575776,     -0.8551365453,     -0.8463587138,     -0.8220620361,       2.063729324
          0,           0,          23,      -3.475881569,     -0.8818908752,      -0.882863124,     -0.8580594099,       1.970771165
          0,           0,          24,      -3.489981421,     -0.9020812308,     -0.8994209902,     -0.8761560726,       1.940444045
          0,           0,          25,      -3.485694562,     -0.9181528534,     -0.9085256279,     -0.8870627085,       1.944798271
          0,           0,          26,      -3.497401408,     -0.9334912595,     -0.9211762716,     -0.9006944043,       1.939664835
          0,           0,          27,      -3.535078539,     -0.9501814079,     -0.9406019965,     -0.9203277973,       1.908608272
          0,           0,          28,      -3.593036621,     -0.9682252259,     -0.9633296292,     -0.9431176228,       1.855056365
          0,           0,          29,      -3.653192321,     -0.9859737077,     -0.9830788343,     -0.9634838493,        1.79627147
          0,           0,          30,      -3.691849588,      -1.001423497,     -0.9955204396,     -0.9774079894,       1.757516836
          0,           0,          31,      -3.702305658,      -1.013438216,      -1.001115124,     -0.9849106205,       1.749013378
          0,           0,          32,      -3.701062042,      -1.022124195,      -1.003370091,     -0.9889802923,       1.755207491
          0,           0,          33,      -3.705792687,      -1.028484486,      -1.005499333,     -0.9925485207,       1.756847051
          0,           0,          34,      -3.721993779,      -1.033634631,      -1.008411493,     -0.9965498044,       1.746919404
          0,           0,          35,      -3.744191418,      -1.038297299,      -1.011053069,      -1.000073584,       1.729620594
          0,           0,          36,      -3.761728624,      -1.042741115,      -1.012099586,      -1.001875277,       1.714502418
          0,           0,          37,      -3.767480174,      -1.046996049,      -1.011390433,      -1.001722928,       1.708746987
          0,           0,          38,      -3.764944018,      -1.051187665,      -1.010295913,      -1.000852808,       1.710346256
          0,           0,          39,       -3.76415806,      -1.055521741,      -1.010770151,       -1.00111972,       1.710554238
          0,           0,          40,      -3.773039313,      -1.060157566,      -1.014109499,      -1.003841606,       1.701493516
          0,           0,          41,      -3.791912489,      -1.064994753,      -1.020129934,      -1.008953385,       1.681925491
          0,           0,          42,      -3.812678335,      -1.069591541,      -1.027277746,      -1.015143723,       1.658821556
          0,           0,          43,      -3.822977752,      -1.073240854,      -1.033540267,      -1.020711492,       1.644409526
          0,           0,          44,      -3.814405868,      -1.075315765,      -1.037430606,      -1.024413688,       1.649029529
          0,           0,          45,      -3.789823817,      -1.075494465,       -1.03856537,      -1.025976174,       1.672140385
          0,           0,          46,      -3.759837147,      -1.073889374,        -1.0376877,       -1.02608687,       1.703467224
          0,           0,          47,      -3.734655345,       -1.07100349,       -1.03631373,      -1.026084688,       1.731753872
          0,           0,          48,      -3.719614669,      -1.067466242,      -1.035823282,      -1.027180169,         1.7506541
          0,           0,          49,      -3.716313102,      -1.063846351,      -1.037018651,      -1.030052928,       1.757989243
          0,           0,          50,      -3.724208794,      -1.060515454,      -1.040006968,       -1.03474663,       1.753984181
          0,           0,          51,      -3.741471817,      -1.057615873,      -1.044327673,      -1.040773746,       1.740231098
          0,           0,          52,      -3.765359343,      -1.055123099,      -1.049194836,      -1.047337284,       1.719218682
          0,           0,          53,      -3.792523273,      -1.052918017,       -1.05379235,      -1.053607895,       1.694018015
          0,           0,          54,      -3.819458679,      -1.050869338,      -1.057491016,      -1.058940308,       1.667922227
          0,           0,          55,      -3.843279121,      -1.048885439,      -1.059972391,      -1.062996359,       1.643804296
          0,           0,          56,      -3.862523368,      -1.046929344,      -1.061232923,      -1.065748042,       1.623374792
          0,           0,          57,       -3.87733719,       -1.04501394,      -1.061489761,      -1.067404947,         1.6068984
          0,           0,          58,       -3.88892595,      -1.043188603,      -1.061051547,      -1.068267051,       1.593546575
          0,           0,          59,      -3.898757116,      -1.041520281,      -1.060225296,      -1.068627813,       1.582078784
          0,           0,          60,      -3.908034244,      -1.040076844,      -1.059264667,      -1.068728916,        1.57137852
          0,           0,          61,      -3.917569815,      -1.038917752,       -1.05836397,      -1.068758316,       1.560648923
          0,           0,          62,      -3.927881433,      -1.038094812,      -1.057669409,       -1.06885211,       1.549362735
          0,           0,          63,      -3.939272052,       -1.03765859,      -1.057283566,      -1.069105695,       1.537192533
          0,           0,          64,      -3.951813726,      -1.037646252,      -1.057263865,      -1.069576928,       1.524017806
          0,           0,          65,      -3.965280823,      -1.038089014,      -1.057622234,      -1.070282795,       1.509987258
          0,           0,          66,      -3.979124969,      -1.039004609,      -1.058331082,      -1.071201798,       1.495556813
          0,           0,          67,      -3.992563566,      -1.040396726,      -1.059335833,      -1.072290299,       1.481427192
          0,           0,          68,      -4.004789738,      -1.042254658,       -1.06057475,      -1.073503445,       1.468364247
          0,           0,          69,      -4.015234798,      -1.044565961,      -1.061998863,       -1.07480915,       1.456951525
          0,           0,          70,      -4.023709618,      -1.047314008,      -1.063575621,      -1.076192257,       1.447437163
          0,           0,          71,      -4.030383921,      -1.050480742,       -1.06528397,      -1.077652023,       1.439724105
          0,           0,          72,      -4.035635595,      -1.054046186,      -1.067108469,       -1.07919083,       1.433495023
          0,           0,          73,      -4.039876454,      -1.057991141,      -1.069034383,      -1.080811005,       1.428378341
          0,           0,          74,      -4.043415688,      -1.062297083,      -1.071043492,      -1.082511729,       1.424090896
          0,           0,          75,      -4.046457414,      -1.066947698,      -1.073121868,      -1.084288367,       1.420452994
