"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -6.710816058,      -7.570981371,      -7.839161878,                 0,       43.91584737,    -0.04626722323,      0.1198623112
          1,              0.01,      -6.798844723,      -7.674994054,       -8.08432473,                 0,      -8.774957874,     0.08020263727,      0.1196284648
          2,              0.02,      -6.808656555,       -7.66158174,      -8.125031226,                 0,        1.39293728,    -0.03593516447,      0.1195741806
          3,              0.03,      -6.715973182,      -7.490726409,      -8.126932358,                 0,       1.865433781,    0.008369863106,      0.1196144497
          4,              0.04,      -7.063267684,      -7.754270005,      -8.467939984,                 0,       1.834864209,    0.001006185049,      0.1196380035
          5,              0.05,      -7.026033299,      -7.758640516,      -8.460267235,                 0,       1.849126835,    -0.00305465582,       0.119615953
          6,              0.06,       -7.17756497,      -7.890894323,      -8.609124743,                 0,       1.879162982,   -0.003163517345,      0.1195784524
          7,              0.07,        -7.8189246,       -8.59282546,      -9.041664139,                 0,       1.895994697,    0.002108167909,      0.1195567174
          8,              0.08,      -7.646030107,      -8.357518043,      -9.044383551,                 0,       1.898296301,    0.004713864155,       0.119557467
          9,              0.09,      -7.787588193,      -8.525687761,      -9.153403843,                 0,       1.903592422,    0.003271191467,      0.1195699467
         10,               0.1,      -8.123116954,      -8.946563355,      -9.360427818,                 0,       1.923180694,   0.0006848825535,      0.1195792936
         11,              0.11,      -8.158405423,      -8.946378454,      -9.344542087,                 0,       1.953427827,  -0.0003920855908,      0.1195771231
         12,              0.12,      -8.111385255,      -8.889479675,      -9.283964271,                 0,        1.98560395,   1.960926784e-05,      0.1195629173
         13,              0.13,      -8.154560595,      -8.936227523,      -9.365225314,                 0,       2.010927255,   0.0003723598627,        0.11954169
         14,              0.14,      -8.390017196,      -9.159208116,      -9.626693866,                 0,       2.028189009,   0.0002280611955,      0.1195188777
         15,              0.15,      -8.752556153,      -9.527357964,      -9.890143863,                 0,       2.039170791,  -7.744670555e-05,      0.1194974481
         16,              0.16,      -8.384942306,      -9.180530227,      -9.599475847,                 0,       2.045981325,   0.0001278816521,      0.1194789063
         17,              0.17,       -8.25684435,      -9.046307763,      -9.505004023,                 0,       2.048015771,   0.0002180964588,      0.1194637962
         18,              0.18,      -8.277120794,      -9.064394321,      -9.539413074,                 0,       2.046930267,   0.0004918250153,      0.1194521221
         19,              0.19,      -8.414715091,      -9.204763439,      -9.682087115,                 0,       2.042896484,   0.0007685266538,      0.1194431537
         20,               0.2,      -8.732954129,      -9.532663816,      -9.985174376,                 0,       2.036114542,   0.0008430625285,       0.119435497
         21,              0.21,      -9.085231216,      -9.882941956,      -10.23224649,                 0,       2.026794407,   0.0007150039373,      0.1194277821
         22,              0.22,      -8.625109412,      -9.423225979,      -9.874585716,                 0,        2.01670107,   0.0008685708295,      0.1194188165
         23,              0.23,      -8.465500385,       -9.26047033,      -9.736640842,                 0,        2.00386395,   0.0005655065209,      0.1194078337
         24,              0.24,      -8.454929675,      -9.250063592,      -9.733094549,                 0,       1.990617132,   0.0003854130106,       0.119394748
         25,              0.25,      -8.572974689,      -9.367807151,      -9.850970704,                 0,       1.977028111,   0.0003282574933,      0.1193799998
         26,              0.26,      -8.900456697,      -9.696843913,      -10.15435017,                 0,       1.963188982,   0.0003384510175,       0.119364289
         27,              0.27,      -9.419277167,      -10.21733137,      -10.51497327,                 0,       1.949068826,   0.0004467533636,      0.1193483389
         28,              0.28,      -8.813852499,      -9.606227045,      -10.08084998,                 0,       1.936398069,   0.0005852169059,      0.1193328873
         29,              0.29,      -8.652942457,      -9.446591607,       -9.93020388,                 0,       1.921938314,   0.0006454988902,      0.1193184477
         30,               0.3,      -8.641959808,      -9.437243588,      -9.921921954,                 0,       1.908638068,   0.0006993190561,      0.1193053432
         31,              0.31,      -8.738395568,      -9.538982928,      -10.01532976,                 0,       1.895889693,   0.0007581099417,      0.1192935455
         32,              0.32,      -8.964605292,      -9.773841987,      -10.23319547,                 0,        1.88365525,   0.0007959565375,      0.1192827043
         33,              0.33,      -9.484204218,      -10.32787151,      -10.66074958,                 0,       1.871655895,   0.0008161474532,      0.1192723238
         34,              0.34,      -9.206134507,      -9.988941036,      -10.44041932,                 0,       1.861652727,   0.0006718188267,      0.1192619247
         35,              0.35,      -8.919599849,      -9.714467705,      -10.20110074,                 0,       1.850396345,   0.0006938894093,       0.119250979
         36,              0.36,      -8.828180271,      -9.627474158,      -10.12415498,                 0,       1.839802704,   0.0005752400574,      0.1192391833
         37,              0.37,      -8.851442411,       -9.65156646,      -10.15535831,                 0,       1.829745359,   0.0004494796665,       0.119226504
         38,              0.38,      -8.995584005,      -9.795494447,      -10.30104631,                 0,       1.820036507,   0.0003557995913,      0.1192131251
         39,              0.39,      -9.339341301,      -10.14829034,      -10.61581563,                 0,        1.81056734,   0.0002930275489,      0.1191993612
         40,               0.4,       -9.58152985,      -10.39271142,      -10.73586326,                 0,       1.801654614,   0.0002300670205,      0.1191855354
         41,              0.41,        -9.1816804,      -9.988693769,      -10.43078226,                 0,       1.793872128,   0.0001198955858,       0.119171956
         42,              0.42,      -9.025536243,       -9.82947342,      -10.29882209,                 0,        1.78499469,   0.0002158810073,      0.1191588269
         43,              0.43,      -8.997332179,      -9.799827833,      -10.27425453,                 0,       1.776786036,   0.0002091688555,      0.1191462673
         44,              0.44,      -9.063461093,      -9.867573557,      -10.33484786,                 0,       1.768969194,   0.0001500419781,      0.1191342516
         45,              0.45,      -9.224727963,      -10.03219624,      -10.47351205,                 0,       1.761367949,   8.964031353e-05,      0.1191226305
         46,              0.46,      -9.520553225,      -10.33318242,       -10.7012325,                 0,       1.753912603,   1.957559289e-05,      0.1191112011
         47,              0.47,      -9.622563597,       -10.4285668,      -10.84185292,                 0,       1.747107475,  -9.979132441e-05,      0.1190997787
         48,              0.48,      -9.352663786,      -10.15268982,      -10.62778792,                 0,       1.740698751,  -0.0001814038859,      0.1190881808
         49,              0.49,      -9.207565763,      -10.00782801,      -10.50347687,                 0,       1.733830595,  -0.0001816439437,      0.1190762467
         50,               0.5,      -9.171673639,      -9.972393639,      -10.47467023,                 0,       1.727318414,  -0.0002377001814,      0.1190639259
         51,              0.51,      -9.230806636,      -10.03116342,      -10.53387872,                 0,       1.721086555,  -0.0003289743532,      0.1190512523
         52,              0.52,      -9.403339573,      -10.20543374,      -10.68777004,                 0,       1.714981481,  -0.0004106119201,      0.1190383128
         53,              0.53,      -9.665325717,      -10.47471016,      -10.88891909,                 0,       1.709000415,  -0.0004771270731,      0.1190252156
         54,              0.54,      -9.605637646,      -10.41628879,      -10.78029193,                 0,       1.703629383,  -0.0005723179061,      0.1190120736
         55,              0.55,      -9.417685857,      -10.22398429,      -10.62499345,                 0,       1.698281116,  -0.0006072015652,      0.1189989622
         56,              0.56,      -9.325265737,      -10.12811924,      -10.55633411,                 0,       1.692697492,  -0.0005749521578,      0.1189859272
         57,              0.57,      -9.318730956,      -10.12133772,      -10.55016244,                 0,       1.687334413,  -0.0005715111662,       0.118972997
         58,              0.58,      -9.380623654,      -10.18748801,      -10.59747962,                 0,        1.68217675,   -0.000605421231,      0.1189601485
         59,              0.59,      -9.498177427,      -10.31162919,      -10.69077512,                 0,       1.677152961,  -0.0006522357599,      0.1189473075
         60,               0.6,      -9.646414466,      -10.46227498,      -10.82559084,                 0,         1.6722809,  -0.0007006888976,      0.1189343807
         61,              0.61,      -9.703186788,       -10.5077911,      -10.91258273,                 0,       1.667651435,  -0.0007436606876,      0.1189212801
         62,              0.62,      -9.610683112,      -10.41187496,      -10.85420684,                 0,       1.663140134,  -0.0007644836095,      0.1189079158
